City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
113,Baykit,RU,2020-09-28 23:51:28,61.67,96.37,30.65,92,36,6.8
114,Iwanai,JP,2020-09-28 23:51:28,42.97,140.51,65.43,61,16,4.0
115,Nichinan,JP,2020-09-28 23:51:28,31.6,131.37,68.0,72,20,6.93
116,Nizhniy Kuranakh,RU,2020-09-28 23:51:29,58.84,125.49,40.06,84,100,7.43
117,Tiksi,RU,2020-09-28 23:51:29,71.69,128.87,33.17,86,46,26.44
118,Avarua,CK,2020-09-28 23:49:48,-21.21,-159.78,78.8,74,59,19.46
119,Laje,BR,2020-09-28 23:51:29,-10.18,-40.97,78.31,38,8,7.63
120,Umm Lajj,SA,2020-09-28 23:51:29,25.02,37.27,90.95,28,0,10.94
121,Buala,SB,2020-09-28 23:51:30,-8.14,159.59,80.96,80,94,7.78
122,Awjilah,LY,2020-09-28 23:51:30,29.11,21.29,83.07,21,2,4.07
123,Tilichiki,RU,2020-09-28 23:51:30,60.47,166.1,44.58,82,86,10.83
124,Yellowknife,CA,2020-09-28 23:50:50,62.46,-114.35,57.2,54,40,9.17
125,Husavik,IS,2020-09-28 23:51:31,66.04,-17.34,35.6,74,40,3.36
126,Kpandae,GH,2020-09-28 23:51:31,8.47,-0.01,74.71,90,82,1.83
127,Katsuura,JP,2020-09-28 23:51:31,35.13,140.3,69.8,64,75,12.75
128,Sioux Lookout,CA,2020-09-28 23:51:31,50.1,-91.92,51.8,93,90,8.05
129,Tuatapere,NZ,2020-09-28 23:51:32,-46.13,167.68,37.0,82,100,18.01
130,Kodiak,US,2020-09-28 23:51:32,57.79,-152.41,55.4,54,20,11.41
131,Ballater,GB,2020-09-28 23:51:32,57.05,-3.04,43.0,85,0,3.4
132,Punta Arenas,CL,2020-09-28 23:51:32,-53.15,-70.92,37.4,44,20,8.05
133,Bethel,US,2020-09-28 23:51:33,41.37,-73.41,69.8,83,1,4.7
134,Fortuna,US,2020-09-28 23:51:33,40.6,-124.16,89.01,41,40,4.7
135,Svetlaya,RU,2020-09-28 23:51:33,46.54,138.33,61.03,67,100,8.01
136,Axim,GH,2020-09-28 23:51:33,4.87,-2.24,75.18,93,95,6.67
137,Malanje,AO,2020-09-28 23:51:34,-9.54,16.34,67.03,80,81,5.99
138,Soe,ID,2020-09-28 23:51:34,-9.86,124.28,78.13,48,3,6.42
139,Ketchikan,US,2020-09-28 23:51:34,55.34,-131.65,53.6,93,90,5.59
140,Coquimbo,CL,2020-09-28 23:51:35,-29.95,-71.34,55.4,82,90,8.05
141,Krasnoarmeyskiy,RU,2020-09-28 23:51:35,47.01,42.21,53.1,61,63,14.7
142,Hithadhoo,MV,2020-09-28 23:51:35,-0.6,73.08,83.44,70,77,9.55
143,Cangucu,BR,2020-09-28 23:48:00,-31.39,-52.68,54.0,77,0,4.88
144,Reno,US,2020-09-28 23:51:35,39.53,-119.81,77.0,12,1,9.17
145,Bundaberg,AU,2020-09-28 23:51:35,-24.85,152.35,73.4,49,40,12.75
146,Bambous Virieux,MU,2020-09-28 23:51:36,-20.34,57.76,73.4,83,40,10.29
147,Vestmannaeyjar,IS,2020-09-28 23:51:36,63.44,-20.27,45.37,76,46,11.14
148,Ugoofaaru,MV,2020-09-28 23:51:36,5.67,73.0,82.44,73,91,5.86
149,Cabedelo,BR,2020-09-28 23:51:36,-6.98,-34.83,77.0,83,40,6.93
150,Cherskiy,RU,2020-09-28 23:51:37,68.75,161.3,45.91,56,68,18.97
151,Chuy,UY,2020-09-28 23:51:37,-33.7,-53.46,50.56,81,0,6.26
152,East London,ZA,2020-09-28 23:51:37,-33.02,27.91,59.34,60,11,10.63
153,Guiratinga,BR,2020-09-28 23:51:37,-16.35,-53.76,85.71,26,11,1.28
