,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Codrington,AU,-38.27,141.97,52.86,71,0,14.45,clear sky
109,Thompson,CA,55.74,-97.86,42.8,56,20,8.05,few clouds
110,Uray,RU,60.12,64.78,46.31,88,82,5.64,broken clouds
111,Carmen,MX,18.63,-91.83,82.4,78,90,14.99,overcast clouds
112,Torbay,CA,47.67,-52.73,64.0,88,75,19.46,broken clouds
113,Kapaa,US,22.08,-159.32,84.2,66,1,8.05,clear sky
114,Port Elizabeth,ZA,-33.92,25.57,59.0,62,100,16.11,overcast clouds
115,Bredasdorp,ZA,-34.53,20.04,57.2,58,99,20.8,light rain
116,Lewisporte,CA,49.25,-55.05,68.0,56,75,13.87,broken clouds
117,Capinota,BO,-17.72,-66.23,75.2,33,40,11.41,scattered clouds
118,Hofn,IS,64.25,-15.21,44.96,55,0,11.72,clear sky
119,Lazaro Cardenas,MX,17.96,-102.2,85.23,67,43,9.71,scattered clouds
120,Ponta Do Sol,PT,32.67,-17.1,71.6,60,20,12.75,few clouds
121,Necochea,AR,-38.55,-58.74,50.0,81,4,11.01,clear sky
122,Thinadhoo,MV,0.53,72.93,82.65,70,100,3.33,overcast clouds
123,Manokwari,ID,-0.87,134.08,79.81,74,96,3.22,overcast clouds
124,Boysun,UZ,38.21,67.2,46.47,54,0,3.29,clear sky
125,Ribeira Grande,PT,38.52,-28.7,68.0,82,40,5.82,scattered clouds
126,Maningrida,AU,-12.07,134.27,72.54,87,34,6.96,scattered clouds
127,Katsuura,JP,35.13,140.3,64.4,93,20,3.36,few clouds
128,East London,ZA,-33.02,27.91,58.66,70,100,16.58,overcast clouds
129,Litovko,RU,49.24,135.17,43.21,89,83,3.85,broken clouds
130,Dalvik,IS,65.97,-18.53,32.0,78,0,2.24,clear sky
131,Bima,ID,-8.47,118.72,75.22,85,6,3.8,clear sky
132,Mananjary,MG,-21.22,48.33,71.58,92,36,6.58,scattered clouds
133,May Pen,JM,17.96,-77.25,91.4,63,20,28.86,few clouds
