City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
321,The Valley,AI,81.0,broken clouds,18.22,-63.06,CeBlue Villas & Beach Resort
322,Mount Isa,AU,71.6,clear sky,-20.73,139.5,ibis Styles Mt Isa Verona
327,Hihya,EG,80.6,few clouds,30.67,31.59,Host Central
330,Omboue,GA,75.83,broken clouds,-1.57,9.26,Hotel Olako
332,Jasrana,IN,76.57,clear sky,27.25,78.68,Shiv Mandir Dapuketion
333,Ambunti,PG,71.62,heavy intensity rain,-4.24,142.84,Ambunti Lodge
341,Poum,NC,70.9,broken clouds,-20.23,164.02,Gîte kajeon
343,Central Point,US,78.8,smoke,42.38,-122.92,Courtyard by Marriott Medford Airport
345,Oranjestad,AW,87.8,few clouds,12.52,-70.03,Divi Village Golf & Beach Resort
346,Loandjili,CG,75.2,scattered clouds,-4.76,11.86,Résidence ARCHANGE
350,Chicama,PE,71.49,clear sky,-7.84,-79.15,Hospedaje Punta Cana PERU
351,Xai-Xai,MZ,71.76,broken clouds,-25.05,33.64,Platinum Hotel
352,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
355,Jacqueville,CI,78.8,scattered clouds,5.21,-4.41,Hotel Le Martin Pecheur
360,La Esperanza,GT,70.0,moderate rain,14.87,-91.57,Hotel Imperio Inn
363,Cape Coast,GH,75.83,broken clouds,5.11,-1.25,Samrit Hotel
365,Hershey,US,71.6,few clouds,40.29,-76.65,Days Inn by Wyndham Hershey
366,Malakal,SS,73.02,clear sky,9.53,31.66,Nile Palace Hotel
367,Jinxiang,CN,77.0,clear sky,22.86,115.7,Haiyun Holiday Hotel
368,Port Hedland,AU,71.6,overcast clouds,-20.32,118.57,The Esplanade Hotel
369,San Javier,ES,75.99,scattered clouds,37.81,-0.84,Hotel Mar Menor
370,Vila Do Maio,CV,80.6,broken clouds,15.13,-23.22,Residence 'I Delfini'
371,Santiago Del Estero,AR,81.93,clear sky,-27.8,-64.26,Hotel Urbano
374,Riyadh,SA,86.0,clear sky,24.69,46.72,InterContinental Riyadh
378,Kirakira,SB,80.51,scattered clouds,-10.45,161.92,SanBiz Lodge
381,Tierranueva,MX,70.47,clear sky,21.68,-100.57,Hotel La Gaviota
382,Puerto Colombia,CO,87.8,scattered clouds,10.99,-74.95,Hotel El Emigrante
387,San Cristobal,VE,89.6,scattered clouds,7.77,-72.22,Pirineos
388,Kampot,KH,78.8,scattered clouds,10.62,104.18,Champa Lodge
390,Nuevo Progreso,MX,84.99,clear sky,23.17,-97.95,Balneario Rio el Paraiso
393,Mirzapur,IN,76.1,broken clouds,25.15,82.58,Hotel Yash Inn
394,Tabou,CI,77.04,light rain,4.42,-7.35,hotêl doufoulougou
397,Alice,US,89.6,clear sky,27.75,-98.07,Holiday Inn Express & Suites Alice
399,Road Town,VG,86.0,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
400,Gandu,BR,72.66,scattered clouds,-13.74,-39.49,Pousada Duarte
403,Lebanon,US,71.01,few clouds,36.21,-86.29,Hampton Inn & Suites Lebanon
405,Rosa Zarate,EC,80.17,overcast clouds,0.33,-79.47,Piscinas y Recepciones Hecalash
